ID,Vis,Range,Density,Errors,Time
2, Hash, 10, 5, 0, 2.149829
2, Hash, 10, 5, 0, 2.11679
2, Hash, 10, 5, 0, 3.475451
2, Hash, 10, 5, 0, 4.037486
2, Hash, 10, 5, 0, 3.172386
2, Hash, 10, 5, 0, 2.359205
2, Hash, 10, 5, 0, 2.422402
2, Hash, 10, 5, 0, 2.08597
2, Hash, 10, 5, 1, 3.389119
2, Hash, 10, 5, 1, 5.360629
2, Hash, 10, 10, 0, 4.661729
2, Hash, 10, 10, 0, 5.074358
2, Hash, 10, 10, 0, 3.097741
2, Hash, 10, 10, 2, 9.758743
2, Hash, 10, 10, 1, 7.956171
2, Hash, 10, 10, 0, 6.213742
2, Hash, 10, 10, 1, 2.552131
2, Hash, 10, 10, 1, 6.082281
2, Hash, 10, 10, 2, 4.93156
2, Hash, 10, 10, 1, 5.12776
2, Hash, 5, 5, 3, 5.768523
2, Hash, 5, 5, 2, 5.539285
2, Hash, 5, 5, 1, 1.639022
2, Hash, 5, 5, 0, 3.126099
2, Hash, 5, 5, 0, 1.557842
2, Hash, 5, 5, 1, 1.746364
2, Hash, 5, 5, 0, 2.038012
2, Hash, 5, 5, 1, 4.933841
2, Hash, 5, 5, 0, 2.102627
2, Hash, 5, 5, 1, 4.25487
2, Hash, 5, 10, 1, 5.962428
2, Hash, 5, 10, 2, 6.444324
2, Hash, 5, 10, 0, 3.32449
2, Hash, 5, 10, 0, 3.906293
2, Hash, 5, 10, 2, 7.35732
2, Hash, 5, 10, 0, 4.735669
2, Hash, 5, 10, 2, 8.295352
2, Hash, 5, 10, 0, 3.966822
2, Hash, 5, 10, 1, 5.385434
2, Hash, 5, 10, 0, 3.174718
2, Hash, 10, 5, 0, 2.104004
2, Hash, 10, 5, 1, 3.399181
2, Hash, 10, 5, 0, 2.892663
2, Hash, 10, 5, 0, 2.379138
2, Hash, 10, 5, 0, 1.785281
2, Hash, 10, 5, 0, 4.003655
2, Hash, 10, 5, 0, 1.986674
2, Hash, 10, 5, 0, 2.732634
2, Hash, 10, 5, 0, 3.074604
2, Hash, 10, 5, 0, 2.37231
2, Hash, 10, 10, 1, 4.864735
2, Hash, 10, 10, 2, 8.03029
2, Hash, 10, 10, 2, 7.563819
2, Hash, 10, 10, 0, 6.390008
2, Hash, 10, 10, 1, 5.545144
2, Hash, 10, 10, 3, 12.07302
2, Hash, 10, 10, 2, 11.11119
2, Hash, 10, 10, 1, 5.671289
2, Hash, 10, 10, 0, 3.481881
2, Hash, 10, 10, 0, 3.119885
2, Hash, 5, 5, 0, 2.187234
2, Hash, 5, 5, 0, 2.757592
2, Hash, 5, 5, 0, 1.926852
2, Hash, 5, 5, 1, 4.728735
2, Hash, 5, 5, 0, 2.201727
2, Hash, 5, 5, 0, 1.939591
2, Hash, 5, 5, 0, 2.373188
2, Hash, 5, 5, 0, 2.383099
2, Hash, 5, 5, 2, 5.76034
2, Hash, 5, 5, 0, 2.334543
2, Hash, 5, 10, 0, 4.353325
2, Hash, 5, 10, 0, 3.415638
2, Hash, 5, 10, 0, 6.021864
2, Hash, 5, 10, 7, 12.30825
2, Hash, 5, 10, 0, 4.227517
2, Hash, 5, 10, 2, 7.116498
2, Hash, 5, 10, 0, 3.483988
2, Hash, 5, 10, 1, 6.30726
2, Hash, 5, 10, 0, 2.878159
2, Hash, 5, 10, 0, 3.478952
