ID,Vis,Range,Density,Errors,Time
1,1,10,5,0,2.05092
1,1,10,5,1,2.594456
1,1,10,5,0,1.030781
1,1,10,5,0,1.422715
1,1,10,5,0,1.810216
1,1,10,5,0,1.519034
1,1,10,5,0,1.262941
1,1,10,5,0,1.607521
1,1,10,5,0,1.796675
1,1,10,5,0,1.42204
1,1,10,10,2,5.067773
1,1,10,10,0,1.265664
1,1,10,10,1,3.718315
1,1,10,10,0,1.307903
1,1,10,10,1,4.294429
1,1,10,10,0,2.774659
1,1,10,10,0,4.045359
1,1,10,10,1,4.987151
1,1,10,10,0,1.976958
1,1,10,10,2,8.084403
1,1,5,5,2,4.285006
1,1,5,5,0,3.09172
1,1,5,5,1,2.529675
1,1,5,5,0,2.662422
1,1,5,5,0,1.651644
1,1,5,5,0,3.102105
1,1,5,5,0,2.298477
1,1,5,5,0,1.525008
1,1,5,5,0,3.849522
1,1,5,5,0,2.279821
1,1,5,10,2,2.848273
1,1,5,10,0,2.489959
1,1,5,10,0,4.948691
1,1,5,10,1,4.080851
1,1,5,10,3,10.09507
1,1,5,10,0,2.672073
1,1,5,10,1,3.476897
1,1,5,10,2,5.10715
1,1,5,10,0,2.638039
1,1,5,10,0,2.070059
1,1,10,5,0,2.672992
1,1,10,5,0,1.906926
1,1,10,5,0,1.50826
1,1,10,5,0,1.479434
1,1,10,5,0,2.969013
1,1,10,5,0,1.819834
1,1,10,5,0,1.800455
1,1,10,5,0,1.374071
1,1,10,5,0,1.534617
1,1,10,5,0,2.096079
1,1,10,10,2,5.142369
1,1,10,10,0,3.997429
1,1,10,10,1,5.08828
1,1,10,10,2,11.27964
1,1,10,10,0,3.842386
1,1,10,10,1,4.670853
1,1,10,10,0,5.167685
1,1,10,10,2,8.278185
1,1,10,10,0,3.279267
1,1,10,10,0,3.919651
1,1,5,5,1,3.929086
1,1,5,5,1,3.985308
1,1,5,5,0,2.287018
1,1,5,5,1,3.548842
1,1,5,5,0,2.928102
1,1,5,5,1,4.902808
1,1,5,5,0,5.133278
1,1,5,5,1,3.560112
1,1,5,5,2,8.159054
1,1,5,5,1,7.006296
1,1,5,10,8,13.31128
1,1,5,10,2,5.0874
1,1,5,10,2,7.606059
1,1,5,10,1,3.647873
1,1,5,10,8,9.945085
1,1,5,10,0,3.759734
1,1,5,10,0,3.54869
1,1,5,10,1,3.031273
1,1,5,10,0,2.906803
1,1,5,10,0,3.867656
2,1,10,5,0,2.149829
2,1,10,5,0,2.11679
2,1,10,5,0,3.475451
2,1,10,5,0,4.037486
2,1,10,5,0,3.172386
2,1,10,5,0,2.359205
2,1,10,5,0,2.422402
2,1,10,5,0,2.08597
2,1,10,5,1,3.389119
2,1,10,5,1,5.360629
2,1,10,10,0,4.661729
2,1,10,10,0,5.074358
2,1,10,10,0,3.097741
2,1,10,10,2,9.758743
2,1,10,10,1,7.956171
2,1,10,10,0,6.213742
2,1,10,10,1,2.552131
2,1,10,10,1,6.082281
2,1,10,10,2,4.93156
2,1,10,10,1,5.12776
2,1,5,5,3,5.768523
2,1,5,5,2,5.539285
2,1,5,5,1,1.639022
2,1,5,5,0,3.126099
2,1,5,5,0,1.557842
2,1,5,5,1,1.746364
2,1,5,5,0,2.038012
2,1,5,5,1,4.933841
2,1,5,5,0,2.102627
2,1,5,5,1,4.25487
2,1,5,10,1,5.962428
2,1,5,10,2,6.444324
2,1,5,10,0,3.32449
2,1,5,10,0,3.906293
2,1,5,10,2,7.35732
2,1,5,10,0,4.735669
2,1,5,10,2,8.295352
2,1,5,10,0,3.966822
2,1,5,10,1,5.385434
2,1,5,10,0,3.174718
2,1,10,5,0,2.104004
2,1,10,5,1,3.399181
2,1,10,5,0,2.892663
2,1,10,5,0,2.379138
2,1,10,5,0,1.785281
2,1,10,5,0,4.003655
2,1,10,5,0,1.986674
2,1,10,5,0,2.732634
2,1,10,5,0,3.074604
2,1,10,5,0,2.37231
2,1,10,10,1,4.864735
2,1,10,10,2,8.03029
2,1,10,10,2,7.563819
2,1,10,10,0,6.390008
2,1,10,10,1,5.545144
2,1,10,10,3,12.07302
2,1,10,10,2,11.11119
2,1,10,10,1,5.671289
2,1,10,10,0,3.481881
2,1,10,10,0,3.119885
2,1,5,5,0,2.187234
2,1,5,5,0,2.757592
2,1,5,5,0,1.926852
2,1,5,5,1,4.728735
2,1,5,5,0,2.201727
2,1,5,5,0,1.939591
2,1,5,5,0,2.373188
2,1,5,5,0,2.383099
2,1,5,5,2,5.76034
2,1,5,5,0,2.334543
2,1,5,10,0,4.353325
2,1,5,10,0,3.415638
2,1,5,10,0,6.021864
2,1,5,10,7,12.30825
